step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
179,,,,,4.4779517338611186e-05,8.370053546968848e-05,2.4482271328452043e-05,2.4482271328452043e-05,,,,
180,2.424630474706646e-05,3.467404530965723e-05,1.2990006325708237e-05,1.2990006325708237e-05,4.0857754356693476e-05,8.192426321329549e-05,2.2476982849184424e-05,2.2476982849184424e-05,100.0,100.0,1.3547962467844894,1.3445947565184049
181,,,,,3.6973771784687415e-05,7.24326164345257e-05,2.029770075751003e-05,2.029770075751003e-05,,,,
182,,,,,3.450518488534726e-05,7.412781269522384e-05,1.910578976094257e-05,1.910578976094257e-05,,,,
183,,,,,3.650660801213235e-05,7.062892836984247e-05,2.0019027942907996e-05,2.0019027942907996e-05,,,,
184,,,,,3.132159690721892e-05,6.521870818687603e-05,1.729126597638242e-05,1.729126597638242e-05,,,,
185,,,,,4.9774342187447473e-05,8.67720737005584e-05,2.705646875256207e-05,2.705646875256207e-05,,,,
186,,,,,3.501056198729202e-05,6.902329914737493e-05,1.9230865291319788e-05,1.9230865291319788e-05,,,,
187,,,,,3.0151904866215773e-05,6.318088708212599e-05,1.665547642915044e-05,1.665547642915044e-05,,,,
188,,,,,3.670633304864168e-05,7.235258090076968e-05,2.0161980501143262e-05,2.0161980501143262e-05,,,,
189,,,,,2.7495725589687936e-05,5.9754725953098387e-05,1.5241727851389442e-05,1.5241727851389442e-05,,,,
190,2.4474506062688306e-05,3.510315218591131e-05,1.3114831745042466e-05,1.3114831745042466e-05,2.9115377401467413e-05,5.914097710046917e-05,1.6036212400649674e-05,1.6036212400649674e-05,100.0,100.0,1.34170802046613,1.3290431484854295
191,,,,,2.629439768497832e-05,5.897823939449154e-05,1.46216552820988e-05,1.46216552820988e-05,,,,
192,,,,,3.6038221878698096e-05,7.272649963852018e-05,1.983727270271629e-05,1.983727270271629e-05,,,,
193,,,,,2.8655456844717264e-05,6.19365819147788e-05,1.5876144971116446e-05,1.5876144971116446e-05,,,,
194,,,,,3.3655382139841095e-05,6.826422759331763e-05,1.853429239417892e-05,1.853429239417892e-05,,,,
195,,,,,3.649031350505538e-05,7.290455687325448e-05,2.006776958296541e-05,2.006776958296541e-05,,,,
196,,,,,3.974911305704154e-05,7.915531023172662e-05,2.1853438738617115e-05,2.1853438738617115e-05,,,,
197,,,,,2.9031585654593073e-05,6.399150879587978e-05,1.6115582184283994e-05,1.6115582184283994e-05,,,,
198,,,,,4.081994484295137e-05,7.741104491287842e-05,2.2345247998600826e-05,2.2345247998600826e-05,,,,
199,,,,,4.1399747715331614e-05,8.223428449127823e-05,2.2755730242352e-05,2.2755730242352e-05,,,,
200,2.5353831006214023e-05,3.444804679020308e-05,1.3538116945710499e-05,1.3538116945710499e-05,3.866956103593111e-05,7.424543582601473e-05,2.1190917323110625e-05,2.1190917323110625e-05,100.0,100.0,1.3371800678532297,1.324731744871549
